date,description,amount
2025-07-02,GEICO INSURANCE,142.00
2025-07-04,SPOTIFY USA,11.99
2025-07-10,SQ *PLANET FITNESS #4021,24.99
2025-07-10,CHIPOTLE 2214,16.56
2025-07-11,TRADER JOE'S #142,60.58
2025-07-12,EXXON MOBIL 88213,61.07
2025-07-12,CHIPOTLE 2214,30.75
2025-07-13,CHEVRON 00219,67.43
2025-07-13,LOCAL COFFEE CO,33.03
2025-07-14,PP*PELOTON INTERAKTIV,44.00
2025-07-14,SAFEWAY #221,44.40
2025-07-14,EXXON MOBIL 88213,40.99
2025-07-15,CHEVRON 00219,62.10
2025-07-16,SAFEWAY #221,84.32
2025-07-16,COSTCO WHSE #221,69.37
2025-07-18,STARBUCKS #4471,16.18
2025-07-18,UBER *TRIP HELP.UBER.COM,28.20
2025-07-18,COSTCO WHSE #221,118.08
2025-07-19,ADOBE CREATIVE CLOUD,54.99
2025-07-19,CHEVRON 00219,34.88
2025-07-19,PANERA BREAD #88,11.24
2025-07-20,UBER *TRIP HELP.UBER.COM,20.64
2025-07-21,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-07-21,WEGMANS #33,51.90
2025-07-21,LOCAL COFFEE CO,13.32
2025-07-22,PANERA BREAD #88,41.95
2025-07-22,TARGET 00034821,118.71
2025-07-23,WEGMANS #33,131.06
2025-07-24,WALMART.COM,206.01
2025-07-25,TRADER JOE'S #142,58.94
2025-07-26,WEGMANS #33,51.82
2025-07-26,LOCAL COFFEE CO,17.29
2025-07-26,COSTCO WHSE #221,185.02
2025-07-27,NETFLIX.COM 866-579-7172,15.99
2025-07-27,WEGMANS #33,118.22
2025-07-27,LOCAL COFFEE CO,27.21
2025-07-27,AMAZON.COM*A1B2C3,208.74
2025-07-28,SHELL OIL 57443921,62.05
2025-07-28,UBER *TRIP HELP.UBER.COM,11.96
2025-07-29,STARBUCKS #4471,15.93
2025-07-30,NYT DIGITAL SUBSCRIPTION,51.00
2025-08-01,WEGMANS #33,119.54
2025-08-02,GEICO INSURANCE,142.00
2025-08-02,WHOLE FOODS MKT,72.76
2025-08-02,EXXON MOBIL 88213,40.01
2025-08-03,AMAZON PRIME MEMBERSHIP,139.00
2025-08-03,SHELL OIL 57443921,55.76
2025-08-03,WALMART.COM,86.98
2025-08-04,WEGMANS #33,137.89
2025-08-04,EXXON MOBIL 88213,38.43
2025-08-05,SPOTIFY USA,11.99
2025-08-05,WEGMANS #33,79.06
2025-08-05,PANERA BREAD #88,15.27
2025-08-05,LYFT *RIDE THU,11.04
2025-08-06,TRADER JOE'S #142,70.61
2025-08-06,CHEVRON 00219,65.15
2025-08-08,CHEVRON 00219,65.85
2025-08-09,SQ *PLANET FITNESS #4021,24.99
2025-08-09,WHOLE FOODS MKT,63.55
2025-08-09,CHEVRON 00219,53.84
2025-08-09,LOCAL COFFEE CO,23.59
2025-08-10,CHIPOTLE 2214,18.36
2025-08-11,TRADER JOE'S #142,106.72
2025-08-11,SHELL OIL 57443921,37.30
2025-08-11,LOCAL COFFEE CO,29.17
2025-08-13,WHOLE FOODS MKT,132.44
2025-08-15,PP*PELOTON INTERAKTIV,44.00
2025-08-15,TRADER JOE'S #142,121.77
2025-08-17,TRADER JOE'S #142,115.01
2025-08-17,SWEETGREEN DTLA,36.72
2025-08-18,ADOBE CREATIVE CLOUD,54.99
2025-08-18,TRADER JOE'S #142,60.13
2025-08-18,EXXON MOBIL 88213,40.44
2025-08-18,PANERA BREAD #88,11.66
2025-08-19,TRADER JOE'S #142,35.51
2025-08-20,WHOLE FOODS MKT,128.24
2025-08-20,LYFT *RIDE THU,17.87
2025-08-21,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-08-22,LOCAL COFFEE CO,9.96
2025-08-23,TRADER JOE'S #142,126.34
2025-08-24,LOCAL COFFEE CO,13.48
2025-08-24,COSTCO WHSE #221,82.11
2025-08-25,WEGMANS #33,117.06
2025-08-26,WHOLE FOODS MKT,115.64
2025-08-26,EXXON MOBIL 88213,40.07
2025-08-26,CHIPOTLE 2214,33.89
2025-08-27,NETFLIX.COM 866-579-7172,15.99
2025-08-27,TRADER JOE'S #142,55.91
